Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
var,varlab,xaxis,frac,mean,p1,sd,p5,p25,p50,p75,p95,p99
logadjgross,Log Adjusted Gross Income,11.51,0.11,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.61,0.14,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.71,0.16,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.82,0.18,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.92,0.22,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.02,0.27,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.12,0.34,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.23,0.40,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.33,0.46,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.43,0.52,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.53,0.56,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.63,0.59,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.74,0.59,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.84,0.59,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,12.94,0.57,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.04,0.53,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.15,0.47,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.25,0.42,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.35,0.36,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.45,0.30,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.55,0.24,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.66,0.20,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.76,0.16,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.86,0.12,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,13.96,0.09,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,14.07,0.07,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,14.17,0.05,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,14.27,0.04,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,14.37,0.03,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,14.47,0.03,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
