Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
var,varlab,xaxis,frac,mean,p1,sd,p5,p25,p50,p75,p95,p99
logadjgross,Log Adjusted Gross Income,9.67,0.01,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,9.77,0.01,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,9.87,0.01,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,9.98,0.01,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.08,0.02,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.18,0.03,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.28,0.02,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.39,0.02,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.49,0.02,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.59,0.02,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.69,0.03,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.79,0.06,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,10.90,0.10,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.00,0.09,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.10,0.08,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.20,0.08,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.31,0.08,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
logadjgross,Log Adjusted Gross Income,11.41,0.10,12.61,9.66,0.94,10.98,12.22,12.70,13.14,13.85,14.54
